Series Name,Series Code,Country Name,Country Code,2015 [YR2015]
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Panama,PAN,56.1954983534897
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Papua New Guinea,PNG,..
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Paraguay,PRY,41.4888092297096
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Peru,PER,23.7104727257036
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Philippines,PHL,34.2942870849427
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Poland,POL,46.4264596041329
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Portugal,PRT,39.8203469846272
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Puerto Rico,PRI,41.9153897240253
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Qatar,QAT,36.0003003529147
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Romania,ROU,41.6353555033722
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Russian Federation,RUS,20.6038213495032
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Rwanda,RWA,35.073875083949
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Samoa,WSM,48.6851481470459
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,San Marino,SMR,..
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Sao Tome and Principe,STP,..
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Saudi Arabia,SAU,38.9032234328523
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Senegal,SEN,46.2593191038267
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Serbia,SRB,56.426365012725
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Seychelles,SYC,..
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Sierra Leone,SLE,47.0702421712383
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Singapore,SGP,152.011729575792
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Sint Maarten (Dutch part),SXM,..
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Slovak Republic,SVK,91.3602353403942
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Slovenia,SVN,68.4044552373482
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Solomon Islands,SLB,54.5224639140651
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Somalia,SOM,61.6540084388186
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,South Africa,ZAF,31.4570076886057
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,South Sudan,SSD,57.5786808745361
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Spain,ESP,30.6703345746937
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Sri Lanka,LKA,28.5428967844703
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,St. Kitts and Nevis,KNA,59.0258465956522
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,St. Lucia,LCA,41.7079617869227
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,St. Martin (French part),MAF,..
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,St. Vincent and the Grenadines,VCT,54.4860097069813
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Sudan,SDN,10.9185780159547
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Suriname,SUR,55.8365168879995
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Swaziland,SWZ,50.1079692290509
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Sweden,SWE,40.6895706047344
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Switzerland,CHE,50.6298772169317
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Syrian Arab Republic,SYR,..
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Tajikistan,TJK,42.2865717249017
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Tanzania,TZA,24.7741238105677
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Thailand,THA,57.4984028585084
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Timor-Leste,TLS,57.9333955804544
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Togo,TGO,67.6045005643347
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Tonga,TON,64.7232896245085
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Trinidad and Tobago,TTO,46.1754209413058
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Tunisia,TUN,50.9582286944134
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Turkey,TUR,25.9539354074197
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Turkmenistan,TKM,..
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Turks and Caicos Islands,TCA,..
